time_utc,temperature_2m,relative_humidity_2m,dew_point_2m,windspeed_10m,windgusts_10m,winddirection_10m,precipitation,surface_pressure,lat,lon
2025-09-07 00:00:00+00:00,17.2,63.0,10.2,7.0,9.7,228.0,0.0,999.6,43.49886,24.40615
2025-09-07 01:00:00+00:00,17.9,58.0,9.5,6.4,6.1,232.0,0.0,999.8,43.49886,24.40615
2025-09-07 02:00:00+00:00,17.6,59.0,9.6,1.5,4.3,249.0,0.0,999.7,43.49886,24.40615
2025-09-07 03:00:00+00:00,16.5,64.0,9.6,3.4,5.0,58.0,0.0,999.7,43.49886,24.40615
2025-09-07 04:00:00+00:00,15.3,69.0,9.8,3.9,6.8,103.0,0.0,999.8,43.49886,24.40615
2025-09-07 05:00:00+00:00,16.5,65.0,10.0,5.7,9.4,127.0,0.0,1000.3,43.49886,24.40615
2025-09-07 06:00:00+00:00,18.5,58.0,10.2,5.7,12.6,131.0,0.0,1000.4,43.49886,24.40615
2025-09-07 07:00:00+00:00,21.1,52.0,10.8,6.8,17.6,132.0,0.0,1000.8,43.49886,24.40615
2025-09-07 08:00:00+00:00,25.0,40.0,10.4,7.6,20.9,126.0,0.0,1001.0,43.49886,24.40615
2025-09-07 09:00:00+00:00,26.8,34.0,9.7,7.1,22.0,109.0,0.0,1000.8,43.49886,24.40615
2025-09-07 10:00:00+00:00,28.4,31.0,9.5,6.8,22.0,125.0,0.0,1000.6,43.49886,24.40615
2025-09-07 11:00:00+00:00,29.3,28.0,8.9,5.3,21.2,114.0,0.0,1000.0,43.49886,24.40615
2025-09-07 12:00:00+00:00,29.8,27.0,8.6,5.2,20.9,90.0,0.0,999.3,43.49886,24.40615
2025-09-07 13:00:00+00:00,30.2,26.0,8.7,7.3,20.5,74.0,0.0,999.3,43.49886,24.40615
2025-09-07 14:00:00+00:00,30.4,26.0,8.7,9.3,20.2,75.0,0.0,998.8,43.49886,24.40615
2025-09-07 15:00:00+00:00,30.0,26.0,8.3,11.2,20.2,84.0,0.0,998.1,43.49886,24.40615
2025-09-07 16:00:00+00:00,29.2,26.0,7.5,10.9,15.8,99.0,0.0,998.0,43.49886,24.40615
2025-09-07 17:00:00+00:00,25.5,36.0,9.4,8.7,13.3,108.0,0.0,998.2,43.49886,24.40615
2025-09-07 18:00:00+00:00,23.6,43.0,10.1,8.3,12.6,114.0,0.0,998.5,43.49886,24.40615
2025-09-07 19:00:00+00:00,22.5,47.0,10.7,8.0,14.0,124.0,0.0,998.7,43.49886,24.40615
2025-09-07 20:00:00+00:00,20.6,54.0,10.9,7.7,13.7,129.0,0.0,998.6,43.49886,24.40615
2025-09-07 21:00:00+00:00,19.6,59.0,11.4,7.6,13.3,128.0,0.0,998.5,43.49886,24.40615
2025-09-07 22:00:00+00:00,19.0,57.0,10.3,7.8,12.6,138.0,0.0,998.5,43.49886,24.40615
2025-09-07 23:00:00+00:00,17.8,62.0,10.5,7.3,11.5,130.0,0.0,998.3,43.49886,24.40615
2025-09-08 00:00:00+00:00,17.3,65.0,10.8,8.1,10.4,107.0,0.0,998.4,43.49886,24.40615
2025-09-08 01:00:00+00:00,16.4,67.0,10.3,6.8,10.4,79.0,0.0,998.3,43.49886,24.40615
2025-09-08 02:00:00+00:00,15.6,70.0,10.1,6.4,10.4,68.0,0.0,998.3,43.49886,24.40615
2025-09-08 03:00:00+00:00,15.5,71.0,10.2,6.7,10.4,76.0,0.0,998.0,43.49886,24.40615
2025-09-08 04:00:00+00:00,14.9,72.0,10.0,7.1,10.1,80.0,0.0,997.9,43.49886,24.40615
2025-09-08 05:00:00+00:00,16.3,67.0,10.3,8.3,14.0,79.0,0.0,998.2,43.49886,24.40615
2025-09-08 06:00:00+00:00,19.2,58.0,10.8,7.3,15.8,74.0,0.0,998.7,43.49886,24.40615
2025-09-08 07:00:00+00:00,22.4,47.0,10.6,9.2,22.3,86.0,0.0,999.1,43.49886,24.40615
2025-09-08 08:00:00+00:00,25.5,37.0,9.7,9.8,24.8,96.0,0.0,999.2,43.49886,24.40615
2025-09-08 09:00:00+00:00,26.9,33.0,9.5,9.6,25.9,99.0,0.0,999.2,43.49886,24.40615
2025-09-08 10:00:00+00:00,28.4,31.0,9.8,10.4,26.6,108.0,0.0,998.8,43.49886,24.40615
2025-09-08 11:00:00+00:00,29.0,30.0,9.8,10.8,27.4,101.0,0.0,997.8,43.49886,24.40615
2025-09-08 12:00:00+00:00,29.6,30.0,10.0,10.6,26.3,92.0,0.0,996.9,43.49886,24.40615
2025-09-08 13:00:00+00:00,29.8,29.0,10.1,10.4,24.1,82.0,0.0,997.1,43.49886,24.40615
2025-09-08 14:00:00+00:00,30.0,29.0,10.0,11.5,23.0,76.0,0.0,996.5,43.49886,24.40615
2025-09-08 15:00:00+00:00,29.7,29.0,9.7,12.6,21.6,81.0,0.0,996.3,43.49886,24.40615
2025-09-08 16:00:00+00:00,29.0,28.0,8.6,10.8,14.8,88.0,0.0,996.2,43.49886,24.40615
2025-09-08 17:00:00+00:00,24.9,38.0,9.7,7.6,11.9,87.0,0.0,996.1,43.49886,24.40615
2025-09-08 18:00:00+00:00,22.7,45.0,10.1,7.9,13.7,90.0,0.0,996.7,43.49886,24.40615
2025-09-08 19:00:00+00:00,21.5,48.0,9.9,7.6,12.6,98.0,0.0,996.7,43.49886,24.40615
2025-09-08 20:00:00+00:00,19.4,54.0,9.8,7.4,12.2,108.0,0.0,996.7,43.49886,24.40615
2025-09-08 21:00:00+00:00,18.5,59.0,10.3,7.2,11.9,118.0,0.0,996.7,43.49886,24.40615
2025-09-08 22:00:00+00:00,18.3,54.0,8.9,8.0,14.0,126.0,0.0,996.8,43.49886,24.40615
2025-09-08 23:00:00+00:00,18.3,52.0,8.3,8.8,16.2,131.0,0.0,996.4,43.49886,24.40615
2025-09-09 00:00:00+00:00,,,,,,,,,43.49886,24.40615
2025-09-09 01:00:00+00:00,,,,,,,,,43.49886,24.40615
2025-09-09 02:00:00+00:00,,,,,,,,,43.49886,24.40615
2025-09-09 03:00:00+00:00,,,,,,,,,43.49886,24.40615
2025-09-09 04:00:00+00:00,,,,,,,,,43.49886,24.40615
2025-09-09 05:00:00+00:00,,,,,,,,,43.49886,24.40615
2025-09-09 06:00:00+00:00,,,,,,,,,43.49886,24.40615
2025-09-09 07:00:00+00:00,,,,,,,,,43.49886,24.40615
2025-09-09 08:00:00+00:00,,,,,,,,,43.49886,24.40615
2025-09-09 09:00:00+00:00,,,,,,,,,43.49886,24.40615
2025-09-09 10:00:00+00:00,,,,,,,,,43.49886,24.40615
2025-09-09 11:00:00+00:00,,,,,,,,,43.49886,24.40615
2025-09-09 12:00:00+00:00,,,,,,,,,43.49886,24.40615
2025-09-09 13:00:00+00:00,,,,,,,,,43.49886,24.40615
2025-09-09 14:00:00+00:00,,,,,,,,,43.49886,24.40615
2025-09-09 15:00:00+00:00,,,,,,,,,43.49886,24.40615
2025-09-09 16:00:00+00:00,,,,,,,,,43.49886,24.40615
2025-09-09 17:00:00+00:00,,,,,,,,,43.49886,24.40615
2025-09-09 18:00:00+00:00,,,,,,,,,43.49886,24.40615
2025-09-09 19:00:00+00:00,,,,,,,,,43.49886,24.40615
2025-09-09 20:00:00+00:00,,,,,,,,,43.49886,24.40615
2025-09-09 21:00:00+00:00,,,,,,,,,43.49886,24.40615
2025-09-09 22:00:00+00:00,,,,,,,,,43.49886,24.40615
2025-09-09 23:00:00+00:00,,,,,,,,,43.49886,24.40615
2025-09-10 00:00:00+00:00,,,,,,,,,43.49886,24.40615
2025-09-10 01:00:00+00:00,,,,,,,,,43.49886,24.40615
2025-09-10 02:00:00+00:00,,,,,,,,,43.49886,24.40615
2025-09-10 03:00:00+00:00,,,,,,,,,43.49886,24.40615
2025-09-10 04:00:00+00:00,,,,,,,,,43.49886,24.40615
2025-09-10 05:00:00+00:00,,,,,,,,,43.49886,24.40615
2025-09-10 06:00:00+00:00,,,,,,,,,43.49886,24.40615
2025-09-10 07:00:00+00:00,,,,,,,,,43.49886,24.40615
2025-09-10 08:00:00+00:00,,,,,,,,,43.49886,24.40615
2025-09-10 09:00:00+00:00,,,,,,,,,43.49886,24.40615
2025-09-10 10:00:00+00:00,,,,,,,,,43.49886,24.40615
2025-09-10 11:00:00+00:00,,,,,,,,,43.49886,24.40615
2025-09-10 12:00:00+00:00,,,,,,,,,43.49886,24.40615
2025-09-10 13:00:00+00:00,,,,,,,,,43.49886,24.40615
2025-09-10 14:00:00+00:00,,,,,,,,,43.49886,24.40615
2025-09-10 15:00:00+00:00,,,,,,,,,43.49886,24.40615
2025-09-10 16:00:00+00:00,,,,,,,,,43.49886,24.40615
2025-09-10 17:00:00+00:00,,,,,,,,,43.49886,24.40615
2025-09-10 18:00:00+00:00,,,,,,,,,43.49886,24.40615
2025-09-10 19:00:00+00:00,,,,,,,,,43.49886,24.40615
2025-09-10 20:00:00+00:00,,,,,,,,,43.49886,24.40615
2025-09-10 21:00:00+00:00,,,,,,,,,43.49886,24.40615
2025-09-10 22:00:00+00:00,,,,,,,,,43.49886,24.40615
2025-09-10 23:00:00+00:00,,,,,,,,,43.49886,24.40615
2025-09-11 00:00:00+00:00,,,,,,,,,43.49886,24.40615
2025-09-11 01:00:00+00:00,,,,,,,,,43.49886,24.40615
2025-09-11 02:00:00+00:00,,,,,,,,,43.49886,24.40615
2025-09-11 03:00:00+00:00,,,,,,,,,43.49886,24.40615
2025-09-11 04:00:00+00:00,,,,,,,,,43.49886,24.40615
2025-09-11 05:00:00+00:00,,,,,,,,,43.49886,24.40615
2025-09-11 06:00:00+00:00,,,,,,,,,43.49886,24.40615
2025-09-11 07:00:00+00:00,,,,,,,,,43.49886,24.40615
2025-09-11 08:00:00+00:00,,,,,,,,,43.49886,24.40615
2025-09-11 09:00:00+00:00,,,,,,,,,43.49886,24.40615
2025-09-11 10:00:00+00:00,,,,,,,,,43.49886,24.40615
2025-09-11 11:00:00+00:00,,,,,,,,,43.49886,24.40615
2025-09-11 12:00:00+00:00,,,,,,,,,43.49886,24.40615
2025-09-11 13:00:00+00:00,,,,,,,,,43.49886,24.40615
2025-09-11 14:00:00+00:00,,,,,,,,,43.49886,24.40615
2025-09-11 15:00:00+00:00,,,,,,,,,43.49886,24.40615
2025-09-11 16:00:00+00:00,,,,,,,,,43.49886,24.40615
2025-09-11 17:00:00+00:00,,,,,,,,,43.49886,24.40615
2025-09-11 18:00:00+00:00,,,,,,,,,43.49886,24.40615
2025-09-11 19:00:00+00:00,,,,,,,,,43.49886,24.40615
2025-09-11 20:00:00+00:00,,,,,,,,,43.49886,24.40615
2025-09-11 21:00:00+00:00,,,,,,,,,43.49886,24.40615
2025-09-11 22:00:00+00:00,,,,,,,,,43.49886,24.40615
2025-09-11 23:00:00+00:00,,,,,,,,,43.49886,24.40615
2025-09-12 00:00:00+00:00,,,,,,,,,43.49886,24.40615
2025-09-12 01:00:00+00:00,,,,,,,,,43.49886,24.40615
2025-09-12 02:00:00+00:00,,,,,,,,,43.49886,24.40615
2025-09-12 03:00:00+00:00,,,,,,,,,43.49886,24.40615
2025-09-12 04:00:00+00:00,,,,,,,,,43.49886,24.40615
2025-09-12 05:00:00+00:00,,,,,,,,,43.49886,24.40615
2025-09-12 06:00:00+00:00,,,,,,,,,43.49886,24.40615
2025-09-12 07:00:00+00:00,,,,,,,,,43.49886,24.40615
2025-09-12 08:00:00+00:00,,,,,,,,,43.49886,24.40615
2025-09-12 09:00:00+00:00,,,,,,,,,43.49886,24.40615
2025-09-12 10:00:00+00:00,,,,,,,,,43.49886,24.40615
2025-09-12 11:00:00+00:00,,,,,,,,,43.49886,24.40615
2025-09-12 12:00:00+00:00,,,,,,,,,43.49886,24.40615
2025-09-12 13:00:00+00:00,,,,,,,,,43.49886,24.40615
2025-09-12 14:00:00+00:00,,,,,,,,,43.49886,24.40615
2025-09-12 15:00:00+00:00,,,,,,,,,43.49886,24.40615
2025-09-12 16:00:00+00:00,,,,,,,,,43.49886,24.40615
2025-09-12 17:00:00+00:00,,,,,,,,,43.49886,24.40615
2025-09-12 18:00:00+00:00,,,,,,,,,43.49886,24.40615
2025-09-12 19:00:00+00:00,,,,,,,,,43.49886,24.40615
2025-09-12 20:00:00+00:00,,,,,,,,,43.49886,24.40615
2025-09-12 21:00:00+00:00,,,,,,,,,43.49886,24.40615
2025-09-12 22:00:00+00:00,,,,,,,,,43.49886,24.40615
2025-09-12 23:00:00+00:00,,,,,,,,,43.49886,24.40615
2025-09-13 00:00:00+00:00,,,,,,,,,43.49886,24.40615
2025-09-13 01:00:00+00:00,,,,,,,,,43.49886,24.40615
2025-09-13 02:00:00+00:00,,,,,,,,,43.49886,24.40615
2025-09-13 03:00:00+00:00,,,,,,,,,43.49886,24.40615
2025-09-13 04:00:00+00:00,,,,,,,,,43.49886,24.40615
2025-09-13 05:00:00+00:00,,,,,,,,,43.49886,24.40615
2025-09-13 06:00:00+00:00,,,,,,,,,43.49886,24.40615
2025-09-13 07:00:00+00:00,,,,,,,,,43.49886,24.40615
2025-09-13 08:00:00+00:00,,,,,,,,,43.49886,24.40615
2025-09-13 09:00:00+00:00,,,,,,,,,43.49886,24.40615
2025-09-13 10:00:00+00:00,,,,,,,,,43.49886,24.40615
2025-09-13 11:00:00+00:00,,,,,,,,,43.49886,24.40615
2025-09-13 12:00:00+00:00,,,,,,,,,43.49886,24.40615
2025-09-13 13:00:00+00:00,,,,,,,,,43.49886,24.40615
2025-09-13 14:00:00+00:00,,,,,,,,,43.49886,24.40615
2025-09-13 15:00:00+00:00,,,,,,,,,43.49886,24.40615
2025-09-13 16:00:00+00:00,,,,,,,,,43.49886,24.40615
2025-09-13 17:00:00+00:00,,,,,,,,,43.49886,24.40615
2025-09-13 18:00:00+00:00,,,,,,,,,43.49886,24.40615
2025-09-13 19:00:00+00:00,,,,,,,,,43.49886,24.40615
2025-09-13 20:00:00+00:00,,,,,,,,,43.49886,24.40615
2025-09-13 21:00:00+00:00,,,,,,,,,43.49886,24.40615
2025-09-13 22:00:00+00:00,,,,,,,,,43.49886,24.40615
2025-09-13 23:00:00+00:00,,,,,,,,,43.49886,24.40615
2025-09-14 00:00:00+00:00,,,,,,,,,43.49886,24.40615
2025-09-14 01:00:00+00:00,,,,,,,,,43.49886,24.40615
2025-09-14 02:00:00+00:00,,,,,,,,,43.49886,24.40615
2025-09-14 03:00:00+00:00,,,,,,,,,43.49886,24.40615
2025-09-14 04:00:00+00:00,,,,,,,,,43.49886,24.40615
2025-09-14 05:00:00+00:00,,,,,,,,,43.49886,24.40615
2025-09-14 06:00:00+00:00,,,,,,,,,43.49886,24.40615
2025-09-14 07:00:00+00:00,,,,,,,,,43.49886,24.40615
2025-09-14 08:00:00+00:00,,,,,,,,,43.49886,24.40615
2025-09-14 09:00:00+00:00,,,,,,,,,43.49886,24.40615
2025-09-14 10:00:00+00:00,,,,,,,,,43.49886,24.40615
2025-09-14 11:00:00+00:00,,,,,,,,,43.49886,24.40615
2025-09-14 12:00:00+00:00,,,,,,,,,43.49886,24.40615
2025-09-14 13:00:00+00:00,,,,,,,,,43.49886,24.40615
2025-09-14 14:00:00+00:00,,,,,,,,,43.49886,24.40615
2025-09-14 15:00:00+00:00,,,,,,,,,43.49886,24.40615
2025-09-14 16:00:00+00:00,,,,,,,,,43.49886,24.40615
2025-09-14 17:00:00+00:00,,,,,,,,,43.49886,24.40615
2025-09-14 18:00:00+00:00,,,,,,,,,43.49886,24.40615
2025-09-14 19:00:00+00:00,,,,,,,,,43.49886,24.40615
2025-09-14 20:00:00+00:00,,,,,,,,,43.49886,24.40615
2025-09-14 21:00:00+00:00,,,,,,,,,43.49886,24.40615
2025-09-14 22:00:00+00:00,,,,,,,,,43.49886,24.40615
2025-09-14 23:00:00+00:00,,,,,,,,,43.49886,24.40615
